23-04-2021,Lakshadweep,867,1,1671
24-04-2021,Lakshadweep,884,1,1805
25-04-2021,Lakshadweep,917,1,1962
26-04-2021,Lakshadweep,947,1,2126
27-04-2021,Lakshadweep,1067,1,2247
28-04-2021,Lakshadweep,1198,1,2401
29-04-2021,Lakshadweep,1336,1,2504
30-04-2021,Lakshadweep,1382,4,2662
01-05-2021,Lakshadweep,1439,4,2767
02-05-2021,Lakshadweep,1481,4,2923
03-05-2021,Lakshadweep,1759,4,3010
04-05-2021,Lakshadweep,1868,6,3080
05-05-2021,Lakshadweep,2078,6,3249
06-05-2021,Lakshadweep,2240,7,3376
07-05-2021,Lakshadweep,2374,8,3528
08-05-2021,Lakshadweep,2493,9,3629
09-05-2021,Lakshadweep,2708,9,3756
10-05-2021,Lakshadweep,2856,9,3881
11-05-2021,Lakshadweep,2980,10,3982
12-05-2021,Lakshadweep,2980,10,3982
13-05-2021,Lakshadweep,3171,11,4202
14-05-2021,Lakshadweep,3290,13,4395
15-05-2021,Lakshadweep,3392,13,4568
16-05-2021,Lakshadweep,3487,13,4650
17-05-2021,Lakshadweep,3633,14,4767
18-05-2021,Lakshadweep,3764,14,4986
19-05-2021,Lakshadweep,3915,15,5212
20-05-2021,Lakshadweep,3974,18,5466
21-05-2021,Lakshadweep,4072,20,5756
22-05-2021,Lakshadweep,4251,22,6101
23-05-2021,Lakshadweep,4394,22,6418
24-05-2021,Lakshadweep,4537,24,6611
25-05-2021,Lakshadweep,4661,24,6847
26-05-2021,Lakshadweep,4765,26,7111
27-05-2021,Lakshadweep,4956,26,7229
28-05-2021,Lakshadweep,5136,28,7364
29-05-2021,Lakshadweep,5404,29,7542
30-05-2021,Lakshadweep,5622,31,7631
31-05-2021,Lakshadweep,5890,32,7928
01-06-2021,Lakshadweep,6242,33,8077
02-06-2021,Lakshadweep,6566,33,8166
03-06-2021,Lakshadweep,6833,35,8335
04-06-2021,Lakshadweep,7089,35,8479
05-06-2021,Lakshadweep,7324,36,8568
06-06-2021,Lakshadweep,7469,38,8667
